Title,Year,Rating,Description,Poster URL,Page URL
Poor Things,N/A,N/A,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",https://a.ltrbxd.com/resized/sm/upload/33/cq/4s/53/gsVC7HMf4VR2XFOyqjTSklY2Tms-1200-1200-675-675-crop-000000.jpg?v=026c0bec1a,https://letterboxd.com/film/poor-things-2023/
Spider-Man: Across the Spider-Verse,N/A,N/A,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",https://a.ltrbxd.com/resized/sm/upload/22/gj/k3/ql/spider-verse-1200-1200-675-675-crop-000000.jpg?v=259dfdc695,https://letterboxd.com/film/spider-man-across-the-spider-verse/
Lady Bird,N/A,N/A,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",https://a.ltrbxd.com/resized/sm/upload/om/94/t6/xo/lady-bird-1200-1200-675-675-crop-000000.jpg?v=f6b5549332,https://letterboxd.com/film/lady-bird/
American Psycho,N/A,N/A,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",https://a.ltrbxd.com/resized/sm/upload/tr/kl/dj/zi/american-psycho-1200-1200-675-675-crop-000000.jpg?v=59e7d630d5,https://letterboxd.com/film/american-psycho/
Dune: Part Two,N/A,N/A,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",https://a.ltrbxd.com/resized/sm/upload/qp/uv/i4/8b/l6b9YZEokZl1nt7q0pprrur6btG-1200-1200-675-675-crop-000000.jpg?v=ed21d71137,https://letterboxd.com/film/dune-part-two/
The Grand Budapest Hotel,N/A,N/A,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",https://a.ltrbxd.com/resized/sm/upload/iz/zi/e3/3y/45AFDE44-4A07-4ADC-92B3-702BABCBBC05-1200-1200-675-675-crop-000000.jpg?v=26cded064b,https://letterboxd.com/film/the-grand-budapest-hotel/
The Wolf of Wall Street,N/A,N/A,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort’s autobiography.",https://a.ltrbxd.com/resized/sm/upload/cq/zm/xo/3z/wolf-of-wall-street-1200-1200-675-675-crop-000000.jpg?v=bfcb5bcfa9,https://letterboxd.com/film/the-wolf-of-wall-street/
Eternal Sunshine of the Spotless Mind,N/A,N/A,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",https://a.ltrbxd.com/resized/sm/upload/2w/va/23/lr/esotsm-1200-1200-675-675-crop-000000.jpg?v=11483523ca,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
Spirited Away,N/A,N/A,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",https://a.ltrbxd.com/resized/sm/upload/s7/yb/jv/eq/spirited-away-1200-1200-675-675-crop-000000.jpg?v=d89d148596,https://letterboxd.com/film/spirited-away/
Spider-Man: No Way Home,N/A,N/A,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",https://a.ltrbxd.com/resized/sm/upload/3j/1m/pc/b8/spider-man-1200-1200-675-675-crop-000000.jpg?v=e9571e778c,https://letterboxd.com/film/spider-man-no-way-home/
The Menu,N/A,N/A,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",https://a.ltrbxd.com/resized/sm/upload/9k/lr/hv/rv/GFq9kYUnpRCnlbIbjPzNA96e0j-1200-1200-675-675-crop-000000.jpg?v=4de0ef9ae6,https://letterboxd.com/film/the-menu-2022/
Gone Girl,N/A,N/A,"With his wife’s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it’s suspected that he may not be innocent.",https://a.ltrbxd.com/resized/sm/upload/6g/ja/bv/xf/gone-girl-1200-1200-675-675-crop-000000.jpg?v=19f256dfa8,https://letterboxd.com/film/gone-girl/
The Shining,N/A,N/A,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren’t prepared for the madness that lurks within.",https://a.ltrbxd.com/resized/sm/upload/tm/ta/x1/yh/shining-1200-1200-675-675-crop-000000.jpg?v=3eeee4ee5a,https://letterboxd.com/film/the-shining/
Once Upon a Time… in Hollywood,N/A,N/A,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",https://a.ltrbxd.com/resized/sm/upload/3m/w9/ku/pt/once-upon-a-time-in-hollywood-1200-1200-675-675-crop-000000.jpg?v=4bbee2b818,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Black Swan,N/A,N/A,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,https://a.ltrbxd.com/resized/sm/upload/7i/ax/k3/ql/black-swan-1200-1200-675-675-crop-000000.jpg?v=aaaa4b4feb,https://letterboxd.com/film/black-swan/
Inglourious Basterds,N/A,N/A,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as “The Basterds” are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",https://a.ltrbxd.com/resized/sm/upload/3k/ei/4w/1h/inglourious-basterds-1200-1200-675-675-crop-000000.jpg?v=8d8456f504,https://letterboxd.com/film/inglourious-basterds/
Little Women,N/A,N/A,Four sisters come of age in America in the aftermath of the Civil War.,https://a.ltrbxd.com/resized/sm/upload/st/1k/ed/14/little-women-2019-1200-1200-675-675-crop-000000.jpg?v=1a09e3ffd2,https://letterboxd.com/film/little-women-2019/
Forrest Gump,N/A,N/A,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",https://a.ltrbxd.com/resized/sm/upload/ly/1s/z6/yx/forrest-gump-1200-1200-675-675-crop-000000.jpg?v=5686afc240,https://letterboxd.com/film/forrest-gump/
Se7en,N/A,N/A,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the “seven deadly sins” in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer’s mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",https://a.ltrbxd.com/resized/sm/upload/om/48/ya/8v/se7en_uLHHCJ-1200-1200-675-675-crop-000000.jpg?v=04e9ff67b6,https://letterboxd.com/film/se7en/
Avengers: Infinity War,N/A,N/A,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain. ×",https://a.ltrbxd.com/resized/sm/upload/22/q6/od/p6/avengers-infinity-war-1200-1200-675-675-crop-000000.jpg?v=1a4e940b9d,https://letterboxd.com/film/avengers-infinity-war/
The Silence of the Lambs,N/A,N/A,"Clarice Starling is a top student at the FBI’s training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",https://a.ltrbxd.com/resized/sm/upload/jq/r8/n3/gk/silence-of-the-lambs-1200-1200-675-675-crop-000000.jpg?v=c8fae204ef,https://letterboxd.com/film/the-silence-of-the-lambs/
Kill Bill: Vol. 1,N/A,N/A,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",https://a.ltrbxd.com/resized/sm/upload/7d/ip/0u/xg/kill-bill-vol-1-150-1200-1200-675-675-crop-000000.jpg?v=6546ee1a2d,https://letterboxd.com/film/kill-bill-vol-1/
Baby Driver,N/A,N/A,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",https://a.ltrbxd.com/resized/sm/upload/i8/h2/et/9l/baby-driver-1200-1200-675-675-crop-000000.jpg?v=a786173318,https://letterboxd.com/film/baby-driver/
10 Things I Hate About You,N/A,N/A,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",https://a.ltrbxd.com/resized/sm/upload/pk/r4/ll/l1/10-things-i-hate-about-you-1200-1200-675-675-crop-000000.jpg?v=7c0f172116,https://letterboxd.com/film/10-things-i-hate-about-you/
Avengers: Endgame,N/A,N/A,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos’ actions and restore order to the universe once and for all, no matter what consequences may be in store.",https://a.ltrbxd.com/resized/sm/upload/pv/3f/zz/og/avengers-endgame-1200-1200-675-675-crop-000000.jpg?v=55fc50f8fa,https://letterboxd.com/film/avengers-endgame/
Glass Onion,N/A,N/A,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,https://a.ltrbxd.com/resized/sm/upload/nw/ib/zb/m3/glass-onion-a-knives-out-mystery-1200-1200-675-675-crop-000000.jpg?v=f5259913a8,https://letterboxd.com/film/glass-onion/
The Godfather,N/A,N/A,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",https://a.ltrbxd.com/resized/sm/upload/zp/bn/1x/6r/the-godfather-1200-1200-675-675-crop-000000.jpg?v=397832feef,https://letterboxd.com/film/the-godfather/
Call Me by Your Name,N/A,N/A,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father’s research assistant.",https://a.ltrbxd.com/resized/sm/upload/3j/zm/4w/p5/call-me-by-your-name-1200-1200-675-675-crop-000000.jpg?v=d5bd5cddc0,https://letterboxd.com/film/call-me-by-your-name/
Shutter Island,N/A,N/A,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",https://a.ltrbxd.com/resized/sm/upload/c7/ui/a9/mt/shutter2-1200-1200-675-675-crop-000000.jpg?v=47a62ede7e,https://letterboxd.com/film/shutter-island/
Django Unchained,N/A,N/A,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",https://a.ltrbxd.com/resized/sm/upload/ke/2v/n9/i6/django-unchained-1200-1200-675-675-crop-000000.jpg?v=a67979b487,https://letterboxd.com/film/django-unchained/
Hereditary,N/A,N/A,"Following the death of Ellen Leigh, the matriarch of their family, her daughter Annie and the rest of the family start to uncover disturbing secrets about their heritage.  Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness.",https://a.ltrbxd.com/resized/sm/upload/n8/1b/aq/qx/hereditary-1200-1200-675-675-crop-000000.jpg?v=dab0d1c6ef,https://letterboxd.com/film/hereditary/
Ratatouille,N/A,N/A,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart’s delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris’ finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",https://a.ltrbxd.com/resized/sm/upload/do/wf/l1/ff/ratatouille-120-1200-1200-675-675-crop-000000.jpg?v=af61653b74,https://letterboxd.com/film/ratatouille/
Her,N/A,N/A,"In the not so distant future, Theodore, a lonely writer, purchases a newly developed operating system designed to meet the user’s every need. To Theodore’s surprise, a romantic relationship develops between him and his operating system. This unconventional love story blends science fiction and romance in a sweet tale that explores the nature of love and the ways that technology isolates and connects us all.",https://a.ltrbxd.com/resized/sm/upload/cb/fz/at/20/her-1200-1200-675-675-crop-000000.jpg?v=81add3bc83,https://letterboxd.com/film/her/
The Social Network,N/A,N/A,"In 2003, Harvard undergrad and computer genius Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, he is one of the youngest billionaires ever, but Zuckerberg finds that his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",https://a.ltrbxd.com/resized/sm/upload/dr/ty/49/rl/the-social-network-2010-1200-1200-675-675-crop-000000.jpg?v=cbacd98bfa,https://letterboxd.com/film/the-social-network/
Dead Poets Society,N/A,N/A,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",https://a.ltrbxd.com/resized/sm/upload/6e/ah/fr/pn/dead-poets-society-1200-1200-675-675-crop-000000.jpg?v=f2a7da1105,https://letterboxd.com/film/dead-poets-society/
Nope,N/A,N/A,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",https://a.ltrbxd.com/resized/sm/upload/3x/n2/o4/ia/nope-2022-1200-1200-675-675-crop-000000.jpg?v=cebe6abc6f,https://letterboxd.com/film/nope/
Scott Pilgrim vs. the World,N/A,N/A,"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",https://a.ltrbxd.com/resized/sm/upload/tj/1l/fv/xj/scott-pilgrim-170-1200-1200-675-675-crop-000000.jpg?v=a57694ded8,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
The Matrix,N/A,N/A,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",https://a.ltrbxd.com/resized/sm/upload/o3/er/ey/ie/matrix-1200-1200-675-675-crop-000000.jpg?v=eea86a2195,https://letterboxd.com/film/the-matrix/
Fantastic Mr. Fox,N/A,N/A,"The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",https://a.ltrbxd.com/resized/sm/upload/be/5b/hi/85/fantastic-mr-fox-1200-1200-675-675-crop-000000.jpg?v=da0201b5cf,https://letterboxd.com/film/fantastic-mr-fox/
Challengers,N/A,N/A,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Grand Slam champion. To jolt him out of his recent losing streak, she signs him up for a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi’s former boyfriend.",https://a.ltrbxd.com/resized/sm/upload/1v/t5/ny/lk/MV5BYWRmZWM2ZTktMzE1Ny00NmQyLWE3ZDItZTk5MjY5OGQ5NzdhXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_-1200-1200-675-675-crop-000000.jpg?v=bc9f57c5b8,https://letterboxd.com/film/challengers/
Taxi Driver,N/A,N/A,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,https://a.ltrbxd.com/resized/sm/upload/tu/1i/09/tr/taxi-driver-40-1200-1200-675-675-crop-000000.jpg?v=dd9cd7a397,https://letterboxd.com/film/taxi-driver/
Inside Out,N/A,N/A,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",https://a.ltrbxd.com/resized/sm/upload/b5/4z/eo/e7/inside-out-2015-1200-1200-675-675-crop-000000.jpg?v=a6967f7121,https://letterboxd.com/film/inside-out-2015/
The Perks of Being a Wallflower,N/A,N/A,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",https://a.ltrbxd.com/resized/sm/upload/hw/ku/qs/7u/the-perks-of-being-a-wallflower-1200-1200-675-675-crop-000000.jpg?v=f0411b7c56,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
Jojo Rabbit,N/A,N/A,"A World War II satire that follows a lonely German boy whose world view is turned upside down when he discovers his single mother is hiding a young Jewish girl in their attic. Aided only by his idiotic imaginary friend, Adolf Hitler, Jojo must confront his blind nationalism.",https://a.ltrbxd.com/resized/sm/upload/5w/qn/a3/zq/jojo-rabbit-1200-1200-675-675-crop-000000.jpg?v=22c46fb7f7,https://letterboxd.com/film/jojo-rabbit/
Guardians of the Galaxy,N/A,N/A,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",https://a.ltrbxd.com/resized/sm/upload/xl/kd/f5/wk/guardians-of-the-galaxy-1200-1200-675-675-crop-000000.jpg?v=1837002666,https://letterboxd.com/film/guardians-of-the-galaxy/
Black Panther,N/A,N/A,"King T’Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country’s new leader. However, T’Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T’Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan ‘special forces’) and an American secret agent, to prevent Wakanda from being dragged into a world war. ×",https://a.ltrbxd.com/resized/sm/upload/pr/at/45/lo/black-panther-1200-1200-675-675-crop-000000.jpg?v=a267eebe87,https://letterboxd.com/film/black-panther/
Arrival,N/A,N/A,"Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",https://a.ltrbxd.com/resized/sm/upload/oa/m7/ho/3a/arrival-2016-1200-1200-675-675-crop-000000.jpg?v=a5173b53c7,https://letterboxd.com/film/arrival-2016/
Blade Runner 2049,N/A,N/A,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what’s left of society into chaos. K’s discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",https://a.ltrbxd.com/resized/sm/upload/aj/h8/ku/9n/blade-runner-2049-1200-1200-675-675-crop-000000.jpg?v=5263a1d801,https://letterboxd.com/film/blade-runner-2049/
Good Will Hunting,N/A,N/A,"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.",https://a.ltrbxd.com/resized/sm/upload/0q/uw/ja/m2/good-will-hunting-1200-1200-675-675-crop-000000.jpg?v=ba4618a10b,https://letterboxd.com/film/good-will-hunting/
